,text,rating,mood,lemmatized_review
1023,Заказывал акб на 7-ку всем доволен. Комплект инструментов удобный. Сам разобрал заменил и установил новый акб от Limax. Заряд держит отлично👍,5,positive,"заказывать акб на 7-ку все довольный. комплект инструмент удобный. сам разбирать заменять и устанавливать новый акб от Limax. заряд держать отлично👍
"
1024,"Еще не ставил, но порадовала комплектация. Помимо влагозащиты и набора для разборки. Положили два защитных стекла на экран)",5,positive,"еще не ставить, но порадовать комплектация. помимо влагозащита и набор для разборка. полагать два защитный стекло на экран)
"
1025,"Брал на 11 про, старый оригинальный акб 80% держал заряд часа 4 от силы, на этом за 3 часа ушло 5 процентов, очень доволен",5,positive,"брать на 11 про, старый оригинальный акб 80% держать заряд час 4 от сила, на этот за 3 час уходить 5 процент, очень довольный
"
1026,"всё окуенчик, проклейка дисплея, липка для акб, 2 стекла защитных подарки, заказываю тут не первый раз, рекомендую!",5,positive,"все окуенчик, проклейка дисплей, липка для акб, 2 стекло защитный подарок, заказывать тут не первый раз, рекомендовать!
"
1027,"Установила два дня назад, пока всё хорошо. Очень довольна покупкой. Заряд держит хорошо. Родная батарейка была уже 75%🥴 эта 100%",5,positive,"устанавливать два день назад, пока все хороший. очень довольный покупка. заряд держать хорошо. родной батарейка быть уже 75%🥴 этот 100%
"
1028,"Пишу, звоню в тех сервис ноль ответа, возникла проблема после смены акб уровень заряда после 40% телефон отключается иногда бывает даже при 50% телефон начинает сильно тормозить 
При оригинальной акб такого не было. Пожалуйста разберитесь с проблемой моей и я поменяю отзыв на тот которого вы достойны. Комплект хороший ничего плохого не имею возможно и товар тоже хороший но мне попался брак",1,negative,"писать, звонить в тот сервис ноль ответ, возникать проблема после смена акб уровень заряд после 40% телефон отключаться иногда бывать даже при 50% телефон начинать сильно тормозить 
при оригинальный акб такой не быть. пожалуйста разбираться с проблема мой и я поменять отзыв на тот который вы достойный. комплект хороший ничто плохой не иметь возможно и товар тоже хороший но я попадаться брак
"
1029,"есть один минус, положили 2 одинаковые отвёртки, но пинцет не положили, а так всё супер, телефон видит аккумулятор как оригинальный, спасибо большое!",5,positive,"быть один минус, полагать 2 одинаковый отвертка, но пинцет не полагать, а так все супер, телефон видеть аккумулятор как оригинальный, спасибо большой!
"
1030,"Хороший товар. Взял бы, но уже не пригодился, так как чип памяти сгорел, а не аккумулятор ((",5,positive,"хороший товар. взять бы, но уже не пригождаться, так как чип память сгорать, а не аккумулятор ((
"
1031,Отличная батарея и отличный комплект с отвертками и 2 защитных стекла.спасибо за подарки?😀,5,positive,"отличный батарея и отличный комплект с отвертка и 2 защитный стекло.спасибо за подарок?😀
"
1032,"Покупал аккумулятор за 985р на 2900 ёмкости, прислали аккумулятор, на 3400 ёмкости за 1213, спасибо большое! Сам аккумулятор установил, всё работает",5,positive,"покупать аккумулятор за 985р на 2900 емкость, присылать аккумулятор, на 3400 емкость за 1213, спасибо большой! сам аккумулятор устанавливать, все работать
"
1033,"Подошла без проблем. Все работает. Купил в феврале, пишу в июле. Батарея при работе на зарядке греется. Держит заряд намного хуже чем при покупке. Все это спустя пол года. А изначально все было гуд",2,positive,"подходить без проблема. все работать. купить в февраль, писать в июль. батарея при работа на зарядка греться. держать заряд намного плохо чем при покупка. все это спустя пол год. а изначально все быть гуд
"
1034,"Аккумулятор норм, устанавливал на 11 сам первый раз в жизни, комплект для установки полный, сложностей не возникло, минут 20. Сразу дал толчок от зарядки так как не подавал признаков, и сразу запустился. Заряд 70%. Вроде держит, единственное не показывает состояние аккумулятора но это и не нужно лишь бы держал заряд. Покупкой доволен, рекомендую",5,positive,"аккумулятор норма, устанавливать на 11 сам первый раз в жизнь, комплект для установка полный, сложность не возникать, минута 20. сразу давать толчок от зарядка так как не подавать признак, и сразу запуститься. заряд 70%. вроде держать, единственный не показывать состояние аккумулятор но это и не нужно лишь бы держать заряд. покупка довольный, рекомендовать
"
1035,"Аккумулятор не определился, неприятно",3,negative,"аккумулятор не определяться, неприятно
"
1036,Все пришло своевременно. Батарея работает! Что будет дальше не знаю🙂 за стекло спасибо,5,positive,"все приходить своевременно. батарея работать! что быть далеко не знать🙂 за стекло спасибо
"
1037,"Хороший акб, по сравнению с оригом с 75% , держит очень хорошо, рекомендую. Плюс ништяки. Стоит своих денег",5,positive,"хороший акб, по сравнение с ориг с 75% , держать очень хорошо, рекомендовать. плюс ништяки. стоить свой деньги
"
1038,Сама по себе баттарея сногсшибательная!!! Держит очень даже хорошо! Но почему то акб приехал на 3500,5,positive,"сам по себя баттарея сногсшибательный!!! держать очень даже хорошо! но почему то акб приезжать на 3500
"
1039,"Только сегодня поставил, все радует, в наборе есть все и это очень даже прекрасно ,",5,positive,"только сегодня поставлять, все радовать, в набор быть все и это очень даже прекрасно ,
"
1040,"Подошёл, посмотрим как будет держать 
Пришла быстро👍",5,positive,"подходить, посмотреть как быть держать 
приходить быстро👍
"
1041,"Отлично, телефон не работал после замены корпуса и экрана, с этой батареей запустился!",5,positive,"отлично, телефон не работать после замена корпус и экран, с этот батарея запуститься!
"
1042,Заменил АКБ в сервисе. Брак!,1,negative,"заменять акб в сервис. брак!
"
1043,Ребята не видитесь!!! Поставили мне сие чудо в сервисе(сказали акумы этой фирмы мягко говоря не айс). И правда зарядил через тестер с 3% до 100% влезло в него всего 1350милиампер от зававленных 1960. Хотя старый оригинальный акб брал в себя 1400 миллиампер(хотя его емкость за пять лет упала до 72%) А этот новый берет 1350(ЗНАЧИТ ЕГО НАСТОЯЩАЯ ЕМКОСТЬ НЕ 100% А ВСЕГО-ТО ОКОЛО 70% КАК ЭТО ПОНИМАТЬ КАРЛ КАККККК? Ps... Старый акб реально лучше держал заряд( хоть обратно иди старый ставь) а продавец еще и отзывы покупает прислал стикер якобы за хороший отзыв 100р НО Я ПРИНЦИПИАЛЬНЫЙ КАРЛЛЛЛЛЛЛ!!!!!,1,negative,"ребята не видеться!!! поставлять я сей чудо в сервис(сказать акумы этот фирма мягко говорить не айс). и правда заряжать через тестер с 3% до 100% влезать в оно все 1350милиампер от зававленный 1960. хотя старый оригинальный акб брать в себя 1400 миллиампер(хотя он емкость за пять год упасть до 72%) а этот новый брать 1350(значит его настоящий емкость не 100% а всего-то около 70% как это понимать карл каккккк? Ps... старый акб реально хорошо держать заряд( хоть обратно идти старый ставить) а продавец еще и отзыв покупать присылать стикер якобы за хороший отзыв 100р но я принципиальный карллллллл!!!!!
"
1044,"неплохой , хорошо держит но ёмкость не показывает",5,negative,"неплохой , хорошо держать но емкость не показывать
"
1045,"Огромнейшее Вам спасибо!)батарейка,2 защитных стекла,плёнка…..это огонь!)батарейка работает на ура!)",5,positive,"огромный вы спасибо!)батарейка,2 защитный стекло,пленка…..это огонь!)батарейка работать на ура!)
"
1046,"Отличный аккумулятор,заряжку держит хорошо,в настройках высвечивается как оригинал,спасибо!",5,positive,"отличный аккумулятор,заряжка держать хорошо,в настройка высвечиваться как оригинал,спасибо!
"
1047,"Поставил аккумулятор на свой айфон х 4 дня назад, держит хорошо, емкость 100%",5,positive,"поставлять аккумулятор на свой айфон х 4 день назад, держать хорошо, емкость 100%
"
1048,"Классный аккумулятор,сам поставил за пол часа ,увеличенная емкость ,держит очень долго 👍",5,positive,"классный аккумулятор,сам поставлять за пол час ,увеличивать емкость ,держать очень долго 👍
"
1049,"Аккумулятор подошел, работает отлично. Заряд держит весь день, раньше родной только 64% .",5,positive,"аккумулятор подходить, работать отлично. заряд держать весь день, рано родной только 64% .
"
1050,хватает на дольше,5,positive,"хватать на долго
"
1051,Проходил 2 недели вздулся,1,negative,"проходить 2 неделя вздуваться
"
1052,Батарейки хватило на 5 месяцев теперь греется телефон разряжается быстро и лагает. Заккзал новую у этого же продовца.,5,negative,"батарейка хватить на 5 месяц теперь греться телефон разряжаться быстро и лагать. заккзал новый у этот же продовец.
"
1053,"Товар пришел в целости, все нормально. Установка прошла успешно. По опыту эксплуатации - время покажет.",5,positive,"товар приходить в целость, все нормально. установка проходить успешно. по опыт эксплуатация - время показывать.
"
1054,"Получил товар, на вид хороший, есть два стекла защитных в подарок, скотч для акб и проклейка, но мне нужен был на айфон 7, оказалось заказал на 8, нужно как нибудь надписи сделать на фото чтоб люди не ошибались",4,positive,"получать товар, на вид хороший, быть два стекло защитный в подарок, скотч для акб и проклейка, но я нужный быть на айфон 7, оказываться заказывать на 8, нужно как нибудь надпись сделать на фото чтоб человек не ошибаться
"
1055,Всё отлично работает спасибо вам,5,positive,"все отлично работать спасибо вы
"
1056,Китайский аналог родного аккумулятора. Примерно 90% от родного аккумулятора. Достойная замена родного. Берите.,5,positive,"китайский аналог родной аккумулятор. примерно 90% от родной аккумулятор. достойный замена родной. брать.
"
1057,"Все супер, сам поменял, состояние батареи 100% посмотрим сколько прослужит 🤝",5,positive,"все супер, сам поменять, состояние батарея 100% посмотреть сколько прослужить 🤝
"
1058,Быстрая доставка. Батарея держит хорошо. Спасибо продавцу!,5,positive,"быстрый доставка. батарея держать хорошо. спасибо продавец!
"
1059,"шикарный аккумулятор, комплект очень порадовал, заряд держит отлично, все работает, советую!",5,positive,"шикарный аккумулятор, комплект очень порадовать, заряд держать отлично, весь работать, советовать!
"
1060,Нормальная батарейка спустя несколько зарядов стала держать батарейку дольше. Сначала подумал что  *** .,5,positive,"нормальный батарейка спустя несколько заряд становиться держать батарейка долго. сначала подумать что  *** .
"
1061,"Пока работает. Посмотрим, что дальше будет.",4,positive,"пока работать. посмотреть, что далеко быть.
"
1062,"На вид хороший. При установке было 62%. 
Буду надеяться на долгий срок службы. 
А так спасибо.",5,positive,"на вид хороший. при установка быть 62%. 
быть надеяться на долгий срок служба. 
а так спасибо.
"
1063,Поставил думал так ерунда решил проверить что увеличенный люди писали что обычный на 1950 но когда проверил был удивлён показало 2229 средняя мощность это в теории может и больше может и меньше поставил в пятницу до пятницы видно по графику что старая батарея не держала поставил вашу результат был удивительным однозначно рекомендую!,5,positive,"поставлять думать так ерунда решать проверять что увеличивать человек писать что обычный на 1950 но когда проверять быть удивлять показывать 2229 средний мощность это в теория мочь и много мочь и мало поставлять в пятница до пятница видно по график что старый батарея не держать поставлять ваш результат быть удивительный однозначно рекомендовать!
"
1064,"Количество циклов 0, максимальная емкость 100%, все отлично спасибо, только вот максимум 3630 показывает😅",5,positive,"количество цикл 0, максимальный емкость 100%, все отлично спасибо, только вот максимум 3630 показывать😅
"
1065,"Заказал аккумулятор емкостью 3600mAh, прислали на 3500mAh. После установки дополню отзыв",4,positive,"заказывать аккумулятор емкость 3600mAh, присылать на 3500mAh. после установка дополнять отзыв
"
1066,"Установилось отлично 
Посмотрим в раьоте насколько он увеличиной мощности",5,positive,"устанавливаться отлично 
посмотреть в раьоте насколько он увеличина мощность
"
1067,"Ну, конечно, пришлось покалдовать, чтобы определялся айфоном, а так после моих 70% просто пушка",5,positive,"ну, конечно, приходиться покалдовывать, чтобы определяться айфон, а так после мой 70% просто пушка
"
1068,"Все отлично подошло,пришло все целое,спасибо за подарок,положили 2 стекла",5,positive,"все отлично подходить,приходить все целое,спасибо за подарок,полагать 2 стекло
"
1069,"Батарея подошла как родная , всё работает , в подарок два броне стекла. Покупкой доволен.",5,positive,"батарея подходить как родной , все работать , в подарок два броня стекло. покупка довольный.
"
1070,"Заменил , полет нормальный 👍",5,positive,"заменять , полет нормальный 👍
"
1071,"Все чётко🫶 и пришел товар очень быстро, так же рекомендую продавца в основном из-за того что есть весь комплект для ремонта чтоб не таскать в сервис и не доплачивать за замену( это очень хорошо прям молодцы)👏 так же сейчас через урок буду менять аккумулятор и смотреть на качество и не вздуется ли батарея 🪫, пишу что аккум не будет показывать состояние в самом телефоне 💯, пока буду смотреть если что допишу 😄👌",5,positive,"все четко🫶 и приходить товар очень быстро, так же рекомендовать продавец в основной из-за то что быть весь комплект для ремонт чтоб не таскать в сервис и не доплачивать за замена( это очень хороший прямой молодец)👏 так же сейчас через урок быть менять аккумулятор и смотреть на качество и не вздуваться ли батарея 🪫, писать что аккум не быть показывать состояние в самый телефон 💯, пока быть смотреть если что дописывать 😄👌
"
1072,"Аккумулятор держить зарядку очень долго, замену произвел самостоятельно, легкая установка",5,positive,"аккумулятор держить зарядка очень долго, замена производить самостоятельно, легкий установка
"
1073,"2 стекла в подарок, отверточки удобны, то что надо, упаковано на ура",5,positive,"2 стекло в подарок, отверточек удобный, то что надо, упаковывать на ура
"
1074,"Нормальный аккумулятор, держит день спокойно заряд",5,positive,"нормальный аккумулятор, держать день спокойно заряд
"
1075,"Заказывал батарею на iphone 11 pro ,но отправили на 12 iPhone .В коробке даже написано что на 11 ,а внутри 12 ,прошу вернуть деньги",1,negative,"заказывать батарея на iphone 11 pro ,но отправлять на 12 iPhone .в коробка даже написать что на 11 ,а внутри 12 ,просить вернуть деньги
"
1076,"в замене ничего сложного нету,все нужные инструменты в комплекте,батарея отличная",5,positive,"в замена ничто сложный нету,весь нужный инструмент в комплект,батарея отличный
"
1077,Шикарный набор. Упаковано нормально. Надеюсь аккумулятор оправдает ожидание,5,positive,"шикарный набор. упаковывать нормально. надеяться аккумулятор оправдывать ожидание
"
1078,Стекло пришло разбитое,1,negative,"стекло приходить разбитый
"
1079,"укомплектован хорошо, дополения приятные, особенно влагозащитная проклейка. На счет самой ёмкости пока не знаю, чтобы прям вау пока нет, но лучше чем мой старый",4,positive,"укомплектовывать хорошо, дополение приятный, особенно влагозащитный проклейка. на счет самый емкость пока не знать, чтобы прямой вау пока нет, но хорошо чем мой старый
"
1080,"У него 2100 милиампер ёмкости, не 2400 как написано, но держит очень хорошо",5,positive,"у он 2100 милиампер емкость, не 2400 как написать, но держать очень хорошо
"
1081,"Телефон я сломал, но батарея была рабочая.",5,positive,"телефон я сломать, но батарея быть рабочий.
"
1082,Аккумулятор я поменял сегодня пока все норм,5,positive,"аккумулятор я поменять сегодня пока весь норма
"
1083,"Поменяли аккумулятор, прыгает заряд с 15% через 2 минуты 58% без подключения к электричеству. Телефон сам по себе выключается и включается",1,positive,"поменять аккумулятор, прыгать заряд с 15% через 2 минута 58% без подключение к электричество. телефон сам по себя выключаться и включаться
"
1084,"Аккумулятор греется, заряд держит плохо. Быстро разряжается. Хотели сдать по браку, но продавец отказался. Не советую покупать ни модель ни этого продавца.",1,positive,"аккумулятор греться, заряд держать плохо. быстро разряжаться. хотеть сдавать по брак, но продавец отказываться. не советовать покупать ни модель ни этот продавец.
"
1085,"Все отлично, даже бронь стекло в комплекте и набор. Инструментов для разборки",5,positive,"все отлично, даже бронь стекло в комплект и набор. инструмент для разборка
"
1086,"Держит заряд отлично, нужно просто пару раз разрядить/зарядить, ошибок нет. Всё необходимое для замены в комплекте есть хорошего качества",5,positive,"держать заряд отлично, нужный просто пара раз разряжать/заряжать, ошибка нет. все необходимый для замена в комплект быть хороший качество
"
1087,"Отличный акб, хорошо упакован, уставил заряд держит хорошо😀",5,positive,"отличный акб, хорошо упаковывать, уставлять заряд держать хорошо😀
"
1088,"Аккумулятор приехал быстро. Вчера установил, сегодня утром в 10 часов снял с зарядки на 100% и пошел на работу. Специально засёк разницу со старой. Пишу сейчас, в 20:46, осталось 8%. Весь день продержалась. Старая просилась на зарядку где-то в 3 часа дня. Батарея хорошая.",5,positive,"аккумулятор приезжать быстро. вчера устанавливать, сегодня утро в 10 час снимать с зарядка на 100% и пойти на работа. специально засекать разница со старый. писать сейчас, в 20:46, оставаться 8%. весь день продержаться. старый проситься на зарядка где-то в 3 час день. батарея хороший.
"
1089,Аккумулятор отлично встал на место. Все по комплектации как в описании👍🏻,5,positive,"аккумулятор отлично вставать на место. все по комплектация как в описание👍🏻
"
1090,"Пришел аккумулятор, все работает, пришел быстро, в случае чего дополню отзыв!",5,positive,"приходить аккумулятор, все работать, приходить быстро, в случай что дополнять отзыв!
"
1091,"Ммнус 17-20 прц за ночь в режиме ожидания , думаю это плохо конечно, но скоре всего тут еще и вопросы к железу телефона.",4,positive,"ммнус 17-20 прц за ночь в режим ожидание , думать это плохой конечно, но скора все тут еще и вопрос к железо телефон.
"
1092,"Из плюсов: быстрая доставка, обещают повышенную емкость АКБ, в комплекте сразу и отвертки (посмотрим, как они себя покажут при откручивание и закручивании винтов)  и присоска.  На АКБ сразу есть клеевая основа для фиксации в телефоне. Из минусов: в описании указано что в комплекте идёт влагозащитная подложка, ее нет. На мой взгляд особо и не нужна, если сам вскрыл, заводскую герметичность уже не обеспечить. БОНУСОМ положили защитное стекло, за это спасибо. После установки дополню отзыв",5,positive,"из плюс: быстрый доставка, обещать повышенный емкость акб, в комплект сразу и отвертка (посмотреть, как они себя показывать при откручивание и закручивание винт)  и присосок.  на акб сразу быть клеевой основа для фиксация в телефон. из минус: в описание указывать что в комплект идти влагозащитный подложка, ее нет. на мой взгляд особо и не нужный, если сам вскрывать, заводской герметичность уже не обеспечивать. бонус полагать защитный стекло, за это спасибо. после установка дополнять отзыв
"
1093,"Все круто работает, циклы наладились, респет продавцу за отвертки",5,positive,"все круто работать, цикл налаживаться, респевать продавец за отвертка
"
1094,"Комлектация просто огонь, спасибо за 2 защитных стекла и за инструмент!!! 🤝",5,positive,"комлектация просто огонь, спасибо за 2 защитный стекло и за инструмент!!! 🤝
"
1095,"Здравствуйте пришло конечно всё хорошо все классно но, как розпаковал обнаружил что стекло лопнутое пополам, это очень не красиво!",2,neutral,"здравствовать приходить конечно все хороший все классно но, как розпаковать обнаруживать что стекло лопнуть пополам, это очень не красиво!
"
1096,"Редкостное г***но, хватило всего на месяц, после телефон начал выключаться на 10%, потом на 15%, потоммна 30 , дальше вообще надулся, и теперь я встрял и на акум и на экран 🤦🏻‍♂️",1,negative,"редкостный г***но, хватить всего на месяц, после телефон начинать выключаться на 10%, потом на 15%, потоммный 30 , далеко вообще надуваться, и теперь я встревать и на акум и на экран 🤦🏻‍♂️
"
1097,Не очень причтное увидомление каждый раз выходит !!!! Товар так себе а хотя отзывы смотрел .,1,negative,"не очень причтное увидомление каждый раз выходить !!!! товар так себе а хотя отзыв смотреть .
"
1098,"Ещё не заряжал, но работает отлично, спасибо за подарок!",5,positive,"еще не заряжать, но работать отлично, спасибо за подарок!
"
1099,"Спасибо продавцу, все отлично, заменил, все ок. 100% емкости. 2 стекла в подарок",5,positive,"спасибо продавец, все отлично, заменять, весь ока. 100% емкость. 2 стекло в подарок
"
1100,"ёмкость не отображается, установили акб, было 49%, спустя часа 1,5 стало 26%, с учётом того, что телефоном не пользовались почти вообще, подожду немного, разряжу несколько раз и посмотрю, что будет дальше, но думаю скорее придётся вернуть(",3,negative,"емкость не отображаться, устанавливать акб, быть 49%, спустя час 1,5 становиться 26%, с учет то, что телефон не пользоваться почти вообще, подождать немного, разряжать несколько раз и посмотреть, что быть далеко, но думать скоро приходиться вернуть(
"
1101,"Отличный акб, купил и обрадывался телефона не садиться, отличный аккумулятор",5,positive,"отличный акб, купить и обрадываться телефон не садиться, отличный аккумулятор
"
1102,"Товар получил, все отлично! Пока не проверял, но думаю все в норме.",5,positive,"товар получать, весь отлично! пока не проверять, но думать все в норма.
"
1103,Отличная батарея держит очень хорошо в подарок положили два разных стекла,5,positive,"отличный батарея держать очень хорошо в подарок полагать два разный стекло
"
1104,"Подошел идеально, телефон не жалуется, ошибок не выдает",5,positive,"подходить идеально, телефон не жаловаться, ошибка не выдавать
"
1105,Акум бомба 🔥спасибо за приколюшки . Заряд держит хорошо,5,positive,"акум бомба 🔥спасибо за приколюшка . заряд держать хорошо
"
1106,"Аккумулятор просто супер!!! Быстро заменил) за свою цену это просто лучшее что есть на рынке. В подарок дали хорошее защитное стекло, так как чтобы заменить батарею придется снять своё старое, дабы снять дисплей. Хотелось бы отверточки конечно получше и нормальное средство для снятия дисплея, но тогда комплект был бы дороже. Так что рекомендую купить нормальный комплект отверток, присоску получше, и средство тонкое, которое просовывается между дисплеем и корпусом, так как медиатор слишком толстый и не совсем для этого подходит. Что бы всё таки ошибка не выскакивала на айфоне 11 вам придется отнести в сервис или самому перепаять контроллер с оригинального аккумулятора на новый и также сбросить проценты и кол во зарядов на программаторе.",5,positive,"аккумулятор просто супер!!! быстро заменять) за свой цена это просто хороший что быть на рынок. в подарок давать хороший защитный стекло, так как чтобы заменять батарея приходиться снимать свой старый, дабы снимать дисплей. хотеться бы отверточек конечно хорошо и нормальный средство для снятие дисплей, но тогда комплект быть бы дорогой. так что рекомендовать купить нормальный комплект отвертка, присосок хорошо, и средство тонкий, который просовываться между дисплей и корпус, так как медиатор слишком толстый и не совсем для это подходить. что бы все таки ошибка не выскакивать на айфон 11 вы приходиться относить в сервис или сам перепаять контроллер с оригинальный аккумулятор на новый и также сбросить процент и кол во заряд на программатор.
"
1107,"Не работает продавец не как не реагирует  , создал заявку на брак ноль реакции проверяет уже вторую неделю",1,negative,"не работать продавец не как не реагировать  , создавать заявка на брак ноль реакция проверять уже второй неделя
"
1108,Все четко и показывает емкость,5,positive,"все четко и показывать емкость
"
1109,"Горит ошибка ,так в уелом комплект более менее но качество фурнитуры не очень",4,negative,"гореть ошибка ,так в уел комплект более менее но качество фурнитура не очень
"
1110,"поставил,отличный акумлятор,очень хорошо держит,реальный отзыв.",5,positive,"поставлять,отличный акумлятор,очень хорошо держать,реальный отзыв.
"
1111,Батарея не плохая поставила и заряда было 80% нареканий нет,5,positive,"батарея не плохой поставлять и заряд быть 80% нарекание нет
"
1112,"Ну вот так теперь после замены!!! А написано что всё будет нормально отображаться!!!надеюсь хоть сам АКБ достойный. инструмент хороший, кроме пинцета.",2,negative,"ну вот так теперь после замена!!! а написать что все быть нормальный отображаться!!!надеяться хоть сам акб достойный. инструмент хороший, кроме пинцет.
"
1113,"Три дня поменял батарею, пока хорошо, заряд держит, не  греется",5,positive,"три день поменять батарея, пока хорошо, заряд держать, не  греться
"
1114,"Все хорошо, не греется, заряд держит, 4 звезды за комплектные отвертки, они просто не подошли, пришлось покупать отдельно",4,positive,"все хорошо, не греться, заряд держать, 4 звезда за комплектный отвертка, они просто не подходить, приходиться покупать отдельно
"
1115,Акб держит заряд хорошо уже месяц как гоняю на нем супер👌👍,5,positive,"акб держать заряд хорошо уже месяц как гонять на он супер👌👍
"
1116,"Пока все отлично, пришел заряженный на 62 процента. полный комплект для замены, упаковано отлично пришло без повреждений, положили защитное стекло на дисплей и камеру, приятненько, большое спасибо. Посмотрим как будет ходить, сделал три полных цикла разрядки/зарядки",5,positive,"пока все отлично, приходить заряжать на 62 процент. полный комплект для замена, упаковывать отлично приходить без повреждение, полагать защитный стекло на дисплей и камера, приятненько, большой спасибо. посмотреть как быть ходить, сделать три полный цикл разрядка/зарядка
"
1117,"Все пришло целое, удобный набор для замены батарейки, батарея супер",5,positive,"все приходить целое, удобный набор для замена батарейка, батарея супер
"
1118,Очень удивлен. Хорошо держит заряд. Рекомендую,5,positive,"очень удивленный. хорошо держать заряд. рекомендовать
"
1119,"Минус  за то, что не показывает емкость .а так 69 процентов на включении .время покажет качество",3,negative,"минус  за то, что не показывать емкость .а так 69 процент на включение .время показывать качество
"
